dt,neme_cum
2026-03-16 04:04:31,-0.05
2026-03-16 04:04:31,-0.09
2026-03-16 04:04:34,-0.16999999999999998
2026-03-16 04:04:34,-0.25
2026-03-16 04:04:34,-0.13
2026-03-16 04:04:34,0.010000000000000009
2026-03-16 04:06:03,-0.09999999999999999
2026-03-16 04:06:03,-0.13999999999999999
2026-03-16 04:06:03,-0.18
2026-03-16 04:38:47,0.36000000000000004
2026-03-16 04:38:47,0.7000000000000001
2026-03-16 04:38:48,0.8700000000000001
2026-03-16 04:38:48,0.9800000000000001
2026-03-16 04:38:48,1.67
2026-03-16 04:38:48,1.5799999999999998
2026-03-16 04:38:49,1.63
2026-03-16 04:38:49,1.5899999999999999
2026-03-16 04:38:49,1.5399999999999998
2026-03-16 04:51:35,1.5099999999999998
2026-03-16 04:51:35,1.4799999999999998
2026-03-16 04:51:36,1.4499999999999997
2026-03-16 04:51:36,1.4199999999999997
2026-03-16 04:51:36,1.3799999999999997
2026-03-16 04:51:36,1.3399999999999996
2026-03-16 05:30:58,1.8399999999999996
2026-03-16 05:30:58,2.3599999999999994
2026-03-16 05:30:59,2.1999999999999993
2026-03-16 05:30:59,2.0699999999999994
2026-03-16 05:30:59,1.9599999999999993
2026-03-16 05:30:59,1.8999999999999992
2026-03-16 06:26:22,1.8599999999999992
2026-03-16 06:26:23,1.8199999999999992
2026-03-16 07:00:38,1.6699999999999993
2026-03-16 07:00:38,1.5099999999999993
2026-03-16 08:00:42,1.3099999999999994
2026-03-16 08:00:42,1.1099999999999994
2026-03-16 15:05:02,1.1799999999999995
2026-03-16 15:05:03,1.0099999999999996
2026-03-16 15:05:03,0.8699999999999996
2026-03-16 15:23:32,0.6699999999999995
2026-03-16 15:23:32,0.6999999999999995
2026-03-16 15:23:32,0.5399999999999995
2026-03-16 15:23:33,0.3599999999999995
2026-03-16 15:23:33,0.019999999999999463
2026-03-16 15:23:33,0.10999999999999946
2026-03-16 15:23:34,0.23999999999999946
2026-03-16 15:23:34,0.019999999999999463
2026-03-16 15:23:34,-0.12000000000000055
2026-03-16 15:23:34,-0.13000000000000056
2026-03-16 15:23:34,-0.32000000000000056
2026-03-16 15:23:35,-0.33000000000000057
2026-03-16 15:23:35,-0.5600000000000006
2026-03-16 15:23:35,-0.7800000000000006
2026-03-16 15:23:35,-0.7500000000000006
2026-03-16 15:23:35,-0.8300000000000005
2026-03-16 15:23:35,-1.0900000000000005
2026-03-16 15:34:32,-2.0900000000000007
2026-03-16 15:51:33,-1.4300000000000006
2026-03-16 20:26:14,1.3099999999999996
2026-03-16 20:26:16,2.2799999999999994
2026-03-17 04:17:34,1.6499999999999995
2026-03-17 04:17:34,1.2499999999999996
2026-03-17 04:17:34,0.9399999999999995
2026-03-17 04:17:34,0.5699999999999995
2026-03-17 04:17:34,-0.3300000000000005
2026-03-17 04:17:34,-0.6600000000000006
2026-03-17 04:17:34,-1.5600000000000005
2026-03-17 04:17:35,-2.1900000000000004
2026-03-17 08:51:09,-1.3000000000000003
2026-03-17 09:46:48,-1.2900000000000003
2026-03-17 11:48:34,1.5199999999999998
2026-03-17 11:48:34,4.33
2026-03-17 12:25:59,8.030000000000001
2026-03-17 12:26:01,11.830000000000002
2026-03-17 15:04:37,13.590000000000002
2026-03-17 15:04:39,15.310000000000002
2026-03-17 15:04:40,14.730000000000002
2026-03-17 15:04:40,14.130000000000003
2026-03-17 16:20:34,13.200000000000003
2026-03-17 16:20:34,12.270000000000003
2026-03-17 18:10:24,14.060000000000002
2026-03-17 18:10:24,15.850000000000001
2026-03-17 18:10:25,17.64
2026-03-17 18:10:25,19.43
2026-03-18 02:29:20,20.53
2026-03-18 02:29:21,21.64
2026-03-18 04:05:21,23.32
2026-03-18 04:05:21,25.0
2026-03-18 04:05:21,26.68
2026-03-18 04:05:21,28.36
2026-03-18 13:10:36,28.91
2026-03-18 13:10:36,29.44
2026-03-18 13:10:46,29.71
2026-03-18 13:10:46,29.96
2026-03-18 13:10:47,30.54
2026-03-18 13:10:48,31.11
2026-03-18 13:10:48,31.68
2026-03-18 13:10:50,32.26
2026-03-18 13:10:50,32.489999999999995
2026-03-18 13:10:52,32.709999999999994
2026-03-18 14:19:54,31.289999999999992
2026-03-18 14:19:54,29.86999999999999
2026-03-18 14:19:54,28.44999999999999
2026-03-18 14:19:54,27.029999999999987
2026-03-18 17:05:11,25.269999999999985
2026-03-18 17:05:11,23.509999999999984
2026-03-18 17:05:12,21.749999999999982
2026-03-18 17:05:12,19.98999999999998
2026-03-18 17:05:12,18.22999999999998
2026-03-18 17:05:12,16.469999999999978
2026-03-18 21:19:04,18.309999999999977
2026-03-18 21:19:06,18.40999999999998
2026-03-18 21:19:15,18.51999999999998
2026-03-18 21:19:24,18.579999999999977
2026-03-18 21:20:00,21.359999999999978
2026-03-18 22:23:14,19.79999999999998
2026-03-18 22:23:14,18.23999999999998
2026-03-18 22:23:14,16.679999999999982
2026-03-18 23:17:36,15.019999999999982
2026-03-18 23:19:52,13.359999999999982
2026-03-19 00:14:53,10.999999999999982
2026-03-19 00:21:02,7.279999999999982
2026-03-19 02:43:32,7.1199999999999815
2026-03-19 03:03:45,6.4499999999999815
2026-03-19 03:03:51,5.789999999999981
2026-03-19 03:03:55,5.049999999999981
2026-03-19 15:00:03,0.8299999999999814
2026-03-19 15:07:04,0.7199999999999814
2026-03-19 15:26:08,-1.5200000000000187
2026-03-19 16:19:17,-3.7800000000000185
2026-03-19 16:50:56,-6.580000000000018
2026-03-19 18:05:59,-2.6100000000000176
2026-03-19 18:09:16,2.409999999999982
2026-03-19 19:50:17,0.6699999999999819
2026-03-19 20:54:46,-2.540000000000018
2026-03-19 21:46:12,-2.3600000000000176
2026-03-19 21:46:13,-1.1200000000000176
2026-03-19 21:46:14,0.12999999999998235
2026-03-20 05:29:12,-1.8700000000000176
2026-03-20 05:37:00,-4.7600000000000176
2026-03-20 12:47:34,-7.4300000000000175
2026-03-20 12:47:34,-10.100000000000017
2026-03-20 13:53:00,-8.620000000000017
2026-03-20 14:17:00,-7.130000000000017
2026-03-20 14:44:49,-6.120000000000017
2026-03-20 14:44:50,-5.170000000000017
2026-03-20 14:44:51,-3.8000000000000167
2026-03-20 14:44:52,-2.420000000000017
2026-03-20 14:44:53,-0.5600000000000167
2026-03-20 14:44:55,0.7899999999999834
2026-03-20 14:45:05,2.1199999999999832
2026-03-20 16:51:44,5.209999999999983
2026-03-20 17:02:20,7.829999999999983
2026-03-20 17:16:13,10.569999999999983
